Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,16,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,16IS_DA0.025,Iris/TreeFarms/Raw/16IS_DA0.025.pkl
Iris,16,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,16IS_RFA0.0,Iris/RandomForestClassification/Raw/16IS_RFA0.0.pkl
Iris,16,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,16IS_PLA0.0,Iris/RandomForestClassification/Raw/16IS_PLA0.0.pkl
Iris,17,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,17IS_PLA0.0,Iris/RandomForestClassification/Raw/17IS_PLA0.0.pkl
Iris,17,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,17IS_UA0.025,Iris/TreeFarms/Raw/17IS_UA0.025.pkl
Iris,17,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,17IS_DA0.025,Iris/TreeFarms/Raw/17IS_DA0.025.pkl
Iris,17,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,17IS_RFA0.0,Iris/RandomForestClassification/Raw/17IS_RFA0.0.pkl
Iris,18,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,18IS_PLA0.0,Iris/RandomForestClassification/Raw/18IS_PLA0.0.pkl
Iris,18,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,18IS_UA0.025,Iris/TreeFarms/Raw/18IS_UA0.025.pkl
Iris,18,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,18IS_DA0.025,Iris/TreeFarms/Raw/18IS_DA0.025.pkl
Iris,18,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,18IS_RFA0.0,Iris/RandomForestClassification/Raw/18IS_RFA0.0.pkl
Iris,19,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,19IS_RFA0.0,Iris/RandomForestClassification/Raw/19IS_RFA0.0.pkl
Iris,19,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,19IS_PLA0.0,Iris/RandomForestClassification/Raw/19IS_PLA0.0.pkl
